|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     375 |         750 |       00:01:11 |       84.00% |       85.00% |       0.4253 |       0.4818 |          0.0010 |
|     400 |         800 |       00:01:16 |       84.00% |       90.00% |       0.4926 |       0.3828 |          0.0010 |
|     425 |         850 |       00:01:20 |       87.00% |       80.00% |       0.4019 |       0.6187 |          0.0010 |
|     450 |         900 |       00:01:25 |       89.00% |       86.67% |       0.3697 |       0.4840 |          0.0010 |
|     475 |         950 |       00:01:30 |       84.00% |       76.67% |       0.4013 |       0.5921 |          0.0010 |
|     500 |        1000 |       00:01:34 |       89.00% |       76.67% |       0.3520 |       0.6633 |          0.0010 |
|     525 |        1050 |       00:01:39 |       91.00% |       88.33% |       0.3323 |       0.4186 |          0.0010 |
|     550 |        1100 |       00:01:44 |       89.00% |       81.67% |       0.3607 |       0.5233 |          0.0010 |
|     575 |        1150 |       00:01:48 |       85.00% |       73.33% |       0.4856 |       0.7920 |          0.0010 |
|     600 |        1200 |       00:01:53 |       81.00% |       83.33% |       0.6138 |       0.5129 |          0.0010 |
|     625 |        1250 |       00:01:58 |       89.00% |       88.33% |       0.3756 |       0.4041 |          0.0010 |
|     650 |        1300 |       00:02:02 |       85.00% |       90.00% |       0.4398 |       0.3561 |          0.0010 |
|     675 |        1350 |       00:02:07 |       83.00% |       90.00% |       0.5534 |       0.3760 |          0.0010 |
|     700 |        1400 |       00:02:11 |       84.00% |       91.67% |       0.4852 |       0.3424 |          0.0010 |
|     725 |        1450 |       00:02:16 |       89.00% |       85.00% |       0.3639 |       0.4612 |          0.0010 |
|     750 |        1500 |       00:02:21 |       86.00% |       80.00% |       0.3948 |       0.5716 |          0.0010 |
|     775 |        1550 |       00:02:25 |       84.00% |       83.33% |       0.4115 |       0.5152 |          0.0010 |
|     800 |        1600 |       00:02:30 |       88.00% |       83.33% |       0.3528 |       0.5351 |          0.0010 |
|     825 |        1650 |       00:02:35 |       89.00% |       83.33% |       0.3184 |       0.4944 |          0.0010 |
|     850 |        1700 |       00:02:39 |       88.00% |       83.33% |       0.3186 |       0.5229 |          0.0010 |
|     875 |        1750 |       00:02:44 |       90.00% |       85.00% |       0.3010 |       0.4741 |          0.0010 |
|     900 |        1800 |       00:02:49 |       90.00% |       83.33% |       0.3050 |       0.4744 |          0.0010 |
|     925 |        1850 |       00:02:53 |       90.00% |       86.67% |       0.2877 |       0.3982 |          0.0010 |
|     950 |        1900 |       00:02:58 |       84.00% |       88.33% |       0.4501 |       0.3787 |          0.0010 |
|     975 |        1950 |       00:03:03 |       86.00% |       86.67% |       0.4033 |       0.3686 |          0.0010 |
|    1000 |        2000 |       00:03:07 |       94.00% |       90.00% |       0.2230 |       0.3367 |          0.0010 |
|======================================================================================================================|
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |       53.00% |       40.00% |       1.0722 |       1.0824 |          0.0010 |
|      25 |          50 |       00:00:07 |       53.00% |       43.33% |       0.9659 |       1.0447 |          0.0010 |
|      50 |         100 |       00:00:11 |       80.00% |       68.33% |       0.7111 |       0.8374 |          0.0010 |
|      75 |         150 |       00:00:16 |       91.00% |       78.33% |       0.4751 |       0.6437 |          0.0010 |
|     100 |         200 |       00:00:21 |       91.00% |       78.33% |       0.3729 |       0.6450 |          0.0010 |
|     125 |         250 |       00:00:25 |       91.00% |       80.00% |       0.3639 |       0.5918 |          0.0010 |
|     150 |         300 |       00:00:30 |       93.00% |       78.33% |       0.3149 |       0.5778 |          0.0010 |
|     175 |         350 |       00:00:34 |       91.00% |       80.00% |       0.3430 |       0.5968 |          0.0010 |
|     200 |         400 |       00:00:39 |       92.00% |       81.67% |       0.2762 |       0.6555 |          0.0010 |
|     225 |         450 |       00:00:44 |       84.00% |       81.67% |       0.3990 |       0.6400 |          0.0010 |
|     250 |         500 |       00:00:48 |       91.00% |       83.33% |       0.2702 |       0.5467 |          0.0010 |
|     275 |         550 |       00:00:53 |       92.00% |       83.33% |       0.2416 |       0.5698 |          0.0010 |
|     300 |         600 |       00:00:57 |       91.00% |       81.67% |       0.2579 |       0.6336 |          0.0010 |
|     325 |         650 |       00:01:02 |       91.00% |       83.33% |       0.2281 |       0.6287 |          0.0010 |
|     350 |         700 |       00:01:07 |       93.00% |       81.67% |       0.2231 |       0.6763 |          0.0010 |
|     375 |         750 |       00:01:14 |       93.00% |       85.00% |       0.2108 |       0.5674 |          0.0010 |
|     400 |         800 |       00:01:21 |       93.00% |       86.67% |       0.2046 |       0.5504 |          0.0010 |
|     425 |         850 |       00:01:26 |       94.00% |       81.67% |       0.1869 |       0.6494 |          0.0010 |
