|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |       20.00% |       31.67% |       1.1143 |       1.0973 |          0.0010 |
|      25 |          50 |       00:00:10 |       76.00% |       65.00% |       0.6362 |       0.9796 |          0.0010 |
|      50 |         100 |       00:00:18 |       78.00% |       75.00% |       0.6912 |       0.6075 |          0.0010 |
|      75 |         150 |       00:00:27 |       86.00% |       85.00% |       0.3701 |       0.4409 |          0.0010 |
|     100 |         200 |       00:00:35 |       88.00% |       80.00% |       0.3565 |       0.4669 |          0.0010 |
|     125 |         250 |       00:00:44 |       93.00% |       90.00% |       0.1861 |       0.3286 |          0.0010 |
|     150 |         300 |       00:00:52 |       92.00% |       85.00% |       0.2025 |       0.4194 |          0.0010 |
|     175 |         350 |       00:01:00 |       95.00% |       90.00% |       0.1490 |       0.3829 |          0.0010 |
|     200 |         400 |       00:01:08 |       98.00% |       88.33% |       0.0671 |       0.3822 |          0.0010 |
|     225 |         450 |       00:01:17 |       95.00% |       86.67% |       0.1688 |       0.4994 |          0.0010 |
|     250 |         500 |       00:01:25 |       97.00% |       86.67% |       0.0941 |       0.4199 |          0.0010 |
|     275 |         550 |       00:01:33 |       87.00% |       70.00% |       0.3737 |       0.7864 |          0.0010 |
|     300 |         600 |       00:01:42 |       97.00% |       83.33% |       0.0766 |       0.6363 |          0.0010 |
|     325 |         650 |       00:01:50 |       98.00% |       86.67% |       0.0547 |       0.5069 |          0.0010 |
|     350 |         700 |       00:01:58 |       97.00% |       78.33% |       0.1001 |       0.6823 |          0.0010 |
|     375 |         750 |       00:02:07 |       98.00% |       80.00% |       0.0656 |       0.5885 |          0.0010 |
|     400 |         800 |       00:02:15 |       99.00% |       81.67% |       0.0367 |       0.7087 |          0.0010 |
|     425 |         850 |       00:02:24 |      100.00% |       85.00% |       0.0039 |       0.6569 |          0.0010 |
|     450 |         900 |       00:02:32 |       99.00% |       85.00% |       0.0487 |       0.6230 |          0.0010 |
|     475 |         950 |       00:02:40 |       97.00% |       78.33% |       0.0882 |       0.5558 |          0.0010 |
|     500 |        1000 |       00:02:49 |      100.00% |       83.33% |       0.0117 |       0.7639 |          0.0010 |
|     525 |        1050 |       00:02:57 |      100.00% |       86.67% |       0.0052 |       0.6524 |          0.0010 |
|     550 |        1100 |       00:03:06 |       96.00% |       88.33% |       0.1016 |       0.5077 |          0.0010 |
|     575 |        1150 |       00:03:14 |      100.00% |       88.33% |       0.0145 |       0.5174 |          0.0010 |
|     600 |        1200 |       00:03:22 |      100.00% |       78.33% |       0.0192 |       0.9279 |          0.0010 |
|     625 |        1250 |       00:03:31 |       96.00% |       73.33% |       0.1186 |       0.9060 |          0.0010 |
|     650 |        1300 |       00:03:39 |      100.00% |       81.67% |       0.0228 |       0.5707 |          0.0010 |
|     675 |        1350 |       00:03:48 |       99.00% |       86.67% |       0.0295 |       0.5523 |          0.0010 |
|     700 |        1400 |       00:03:56 |       98.00% |       83.33% |       0.0534 |       0.6573 |          0.0010 |
|     725 |        1450 |       00:04:04 |       98.00% |       81.67% |       0.0763 |       0.6931 |          0.0010 |
|     750 |        1500 |       00:04:13 |      100.00% |       85.00% |       0.0203 |       0.5577 |          0.0010 |
|     775 |        1550 |       00:04:21 |      100.00% |       83.33% |       0.0015 |       0.8822 |          0.0010 |
|     800 |        1600 |       00:04:30 |      100.00% |       83.33% |       0.0010 |       0.9670 |          0.0010 |
|     825 |        1650 |       00:04:38 |      100.00% |       85.00% |       0.0009 |       1.0071 |          0.0010 |
|     850 |        1700 |       00:04:46 |      100.00% |       85.00% |       0.0005 |       1.0517 |          0.0010 |
|     875 |        1750 |       00:04:55 |      100.00% |       86.67% |       0.0006 |       1.0156 |          0.0010 |
|     900 |        1800 |       00:05:03 |      100.00% |       85.00% |       0.0005 |       1.0941 |          0.0010 |
|     925 |        1850 |       00:05:12 |      100.00% |       86.67% |       0.0004 |       1.0570 |          0.0010 |
|     950 |        1900 |       00:05:20 |      100.00% |       86.67% |       0.0003 |       1.0754 |          0.0010 |
|     975 |        1950 |       00:05:29 |      100.00% |       86.67% |       0.0003 |       1.0813 |          0.0010 |
|    1000 |        2000 |       00:05:37 |      100.00% |       86.67% |       0.0003 |       1.0892 |          0.0010 |
|======================================================================================================================|
